"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","symbol"
709.879777806949,-0.38156875615569,0.171281369238761,-2.22773065075043,0.0258984818006297,0.116913751448305,"ENSG00000000003","TSPAN6"
521.155538570467,0.200929496948476,0.0954101417461937,2.10595533421363,0.0352082323890392,0.145352430971998,"ENSG00000000419","DPM1"
237.573162613185,0.03138337346469,0.122508121489237,0.256173820014432,0.797816622883172,0.923257226816933,"ENSG00000000457","SCYL3"
58.034962241096,-0.1199325948414,0.307280247376282,-0.390303626300246,0.696312042126381,0.87611188052312,"ENSG00000000460","FIRRM"
5826.53778297965,0.437963032949454,0.259675127142868,1.68658060465104,0.091684023988103,0.282076034212781,"ENSG00000000971","CFH"
1284.52719576234,-0.244659145829764,0.116730842409661,-2.09592547076071,0.036088802839582,0.147190061913814,"ENSG00000001036","FUCA2"
611.014595405357,-0.0321182798185935,0.23282526541816,-0.137950147982902,0.890279816886701,0.960231033139439,"ENSG00000001084","GCLC"
369.980409948709,-0.492394846280276,0.210536336660713,-2.33876419667066,0.0193476406432254,0.0942791915191945,"ENSG00000001167","NFYA"
183.565561362969,-0.136254367793883,0.163665246593111,-0.832518635630848,0.405116263754499,0.678253271127814,"ENSG00000001460","STPG1"
2819.58577464732,-0.0452573180929482,0.294077269268368,-0.153896009050762,0.87769173093371,0.955607633900273,"ENSG00000001461","NIPAL3"
540.74470323996,-0.0050617131573259,0.0925446992239807,-0.0546947928921928,0.956381617824924,0.985058493381742,"ENSG00000001497","LAS1L"
114.306948612844,0.26586532166277,0.704779744286527,0.377231785984308,0.706001360424977,0.881663313934924,"ENSG00000001561","ENPP4"
599.81327926346,-0.250303092756655,0.170303952610988,-1.46974329673019,0.141631291620324,0.369831165553748,"ENSG00000001617","SEMA3F"
1783.027395702,-0.22900470892817,0.128213074253696,-1.78612602701528,0.0740788548824277,0.241732143684406,"ENSG00000001629","ANKIB1"
54.8071703099711,0.00926839030950543,0.305968030708381,0.0302920219738223,0.975834159197244,0.99195056076518,"ENSG00000001630","CYP51A1"
786.785362849215,-0.0389806030836773,0.102907553904001,-0.378792436559525,0.704842004339856,0.880809805829527,"ENSG00000001631","KRIT1"
184.180941448053,-0.311159779848005,0.158278444068196,-1.96590117927833,0.0493100268306516,0.18332704251315,"ENSG00000002016","RAD52"
178.345798292393,0.0875073011752313,0.141412524513169,0.618808705073944,0.536042386835022,0.777789754984535,"ENSG00000002330","BAD"
1255.66997191449,0.177809826793781,0.165069063052962,1.07718444331832,0.281397873801754,0.556676398979409,"ENSG00000002549","LAP3"
8299.39631133115,0.0856086377555737,0.118456547582761,0.722700766673639,0.469863744447682,0.730544449948187,"ENSG00000002586","CD99"
108.620125744862,0.110116464687406,0.301487621402639,0.365243734303589,0.714929474723146,0.885681655792637,"ENSG00000002746","HECW1"
350.393986885032,-0.160050309610719,0.129413734904294,-1.23673356409258,0.216186013628573,0.479470935153998,"ENSG00000002822","MAD1L1"
7180.49667257707,0.395889174101897,0.0982718644994631,4.02850984987732,5.61315094317627e-05,0.000816478492170838,"ENSG00000002834","LASP1"
250.924031314052,0.388569010618832,0.144678091986905,2.68574879086739,0.00723674754749255,0.0442622782973114,"ENSG00000002919","SNX11"
541.125661485326,0.401132884169614,1.42157358919878,0.282175250875122,0.777809134487857,0.915015000188408,"ENSG00000002933","TMEM176A"
1067.09243990859,-0.0738982800988791,0.0856670380826903,-0.862622097749529,0.388345276648516,0.663210896720494,"ENSG00000003056","M6PR"
378.746234635411,-0.922849934035897,0.186485171645021,-4.94865047925936,7.47298035570707e-07,1.85014908268425e-05,"ENSG00000003096","KLHL13"
104.789830707931,-1.14225420990893,0.561869065139484,-2.03295443863841,0.0420571262887023,0.163471034723081,"ENSG00000003137","CYP26B1"
116.596992534103,-0.325517687832327,0.330581106924827,-0.984683277457682,0.32477966935157,0.604239630730029,"ENSG00000003249","DBNDD1"
852.429549715659,0.170494491471165,0.154350500041642,1.1045930620579,0.269335958705102,0.542918722039623,"ENSG00000003393","ALS2"
80.3323083343985,-0.390374781684019,0.381104598322301,-1.02432451196477,0.305682023940314,0.583901667918744,"ENSG00000003400","CASP10"
2549.95495576688,1.18088543441837,0.160750094223384,7.34609481956116,2.04081625860231e-13,2.12025303667397e-11,"ENSG00000003402","CFLAR"
4477.49974992209,-0.211456499547797,0.190184194767594,-1.11185106525912,0.266202191606339,0.539244157918654,"ENSG00000003436","TFPI"
291.314764433561,-0.0556573110328733,0.119759906018754,-0.464740770789829,0.642117107685613,0.845448503122402,"ENSG00000003509","NDUFAF7"
2121.2288736718,-0.188736122621656,0.0855445061373928,-2.20629156849099,0.0273635913609938,0.121215074541893,"ENSG00000003756","RBM5"
25.5428389888975,0.98571449715042,0.330312936528936,2.98418374862551,0.00284335962869393,0.0213580796054683,"ENSG00000003987","MTMR7"
38.4713780666898,0.670959815063199,0.697644528614769,0.961750271869035,0.336175063010345,0.61573234199274,"ENSG00000003989","SLC7A2"
1227.24827128654,0.366653405625128,0.0986293781824643,3.71748674058169,0.000201214543906227,0.00244509489422806,"ENSG00000004059","ARF5"
85.0323249230065,-0.166624217580571,0.179416550003455,-0.928700376734267,0.353044385474722,0.63256968375355,"ENSG00000004139","SARM1"
1462.46016714284,0.144490117819284,0.120288560690669,1.20119583266817,0.229675245565094,0.496340425949843,"ENSG00000004142","POLDIP2"
3639.91280982423,-0.0155791745614395,0.237930986980062,-0.0654777032583191,0.947793658455071,0.982832829269968,"ENSG00000004399","PLXND1"
